Wall time,Step,Value
1587198757.0702627,0,0.28972071409225464
1587198833.06062,1,0.19858534634113312
1587198909.9493597,2,0.17423589527606964
1587198984.9815938,3,0.16415879130363464
1587199056.889785,4,0.17200495302677155
1587199128.473878,5,0.17184554040431976
1587199199.7977562,6,0.1751422882080078
1587199266.9228263,7,0.17936456203460693
1587199332.3242214,8,0.16798417270183563
1587199398.613426,9,0.15463581681251526
1587199464.290648,10,0.15947575867176056
1587199528.3888302,11,0.15022316575050354
1587199586.1874084,12,0.15449543297290802
1587199649.0530705,13,0.14418280124664307
1587199706.8715374,14,0.13624809682369232
1587199765.3267229,15,0.1453324258327484
1587199822.0669177,16,0.1525118350982666
1587199876.0804908,17,0.1396379917860031
1587199930.5448608,18,0.14250311255455017
1587199981.7559187,19,0.14288540184497833
1587200031.125511,20,0.1259049028158188
1587200085.1579592,21,0.11057289689779282
1587200137.0948985,22,0.13798147439956665
1587200185.3959377,23,0.12259382754564285
1587200238.2714887,24,0.1396464705467224
1587200285.6502662,25,0.10336879640817642
1587200336.5353637,26,0.14212335646152496
1587200384.1978514,27,0.11574843525886536
1587200431.8757312,28,0.12339484691619873
1587200478.608396,29,0.10106287151575089
1587200525.5465672,30,0.12052720040082932
1587200572.7771046,31,0.11929415911436081
1587200617.7321882,32,0.12097132951021194
1587200662.4032598,33,0.09978920966386795
1587200710.7869666,34,0.13074593245983124
1587200754.2945592,35,0.09276045113801956
1587200796.4845512,36,0.11383398622274399
1587200840.1139436,37,0.11857998371124268
1587200884.977906,38,0.12039098888635635
1587200927.252711,39,0.09711500257253647
1587200970.0907059,40,0.09623243659734726
1587201013.320104,41,0.100251205265522
1587201057.3127947,42,0.09717334061861038
1587201097.8957925,43,0.13490308821201324
1587201138.990078,44,0.12301158905029297
1587201182.7515998,45,0.1080426275730133
