Wall time,Step,Value
1587206209.4964602,0,3.4443774223327637
1587206253.671702,1,1.1700999736785889
1587206293.3824134,2,0.8031055927276611
1587206332.496627,3,0.39804577827453613
1587206372.842805,4,0.44600382447242737
1587206417.862283,5,0.36139732599258423
1587206461.8818846,6,0.20006637275218964
1587206502.8005965,7,0.1537548452615738
1587206543.5962317,8,0.2538905143737793
1587206585.106844,9,0.20174238085746765
1587206622.9530897,10,0.1989557296037674
1587206661.4279845,11,0.14233095943927765
1587206698.7315319,12,0.13799796998500824
1587206737.7173223,13,0.19060848653316498
1587206774.478291,14,0.2121921181678772
1587206809.1829476,15,0.13830044865608215
1587206847.8335216,16,0.21339930593967438
1587206885.1082475,17,0.1760834902524948
1587206923.1914713,18,0.17752109467983246
1587206960.380366,19,0.14601203799247742
1587206995.8990536,20,0.1521732658147812
1587207031.1614444,21,0.11364631354808807
1587207069.925713,22,0.15688997507095337
1587207105.0007002,23,0.16508443653583527
1587207140.1256175,24,0.14109386503696442
1587207179.7094777,25,0.15933988988399506
1587207218.749476,26,0.1754216104745865
1587207256.9983845,27,0.1601947695016861
1587207299.5772166,28,0.16628707945346832
1587207343.8037903,29,0.14846639335155487
1587207381.657942,30,0.12663091719150543
1587207422.0379596,31,0.15356922149658203
