Wall time,Step,Value
1587590429.5413988,0,6.443756580352783
1587590965.3736875,1,6.442601203918457
1587591003.4650679,2,6.438971996307373
1587591041.802421,3,6.432122707366943
1587591079.7402127,4,6.425930976867676
1587591117.7277968,5,6.420480728149414
1587591155.9798326,6,6.417232990264893
1587591194.1601326,7,6.413347244262695
1587591232.3371146,8,6.409854888916016
1587591270.4495115,9,6.405209541320801
1587591308.5997014,10,6.401889801025391
1587591346.991136,11,6.398954391479492
1587591384.9343588,12,6.396586894989014
1587591423.1100798,13,6.392131805419922
1587591461.0992055,14,6.389630317687988
1587591499.5513494,15,6.387044906616211
1587591537.4395034,16,6.3851637840271
1587591575.6217961,17,6.381378650665283
1587591613.6945212,18,6.378256797790527
1587591651.949772,19,6.376888275146484
1587591689.957743,20,6.3734235763549805
1587591728.071923,21,6.370568752288818
1587591766.2546916,22,6.369474411010742
1587591804.4047456,23,6.3639750480651855
1587591842.5921564,24,6.364429950714111
1587591877.596041,25,6.359029769897461
1587591915.7346025,26,6.355090141296387
1587591953.858855,27,6.354905128479004
1587591992.256584,28,6.348363399505615
1587592030.3379471,29,6.347538948059082
1587592068.8383982,30,6.343836784362793
1587592106.9359858,31,6.341170310974121
1587592145.4250858,32,6.33993673324585
1587592183.704607,33,6.33682918548584
1587592222.143478,34,6.333444118499756
1587592260.230867,35,6.3296380043029785
1587592298.509221,36,6.327695846557617
1587592336.5015645,37,6.323947906494141
1587592374.785386,38,6.321754455566406
1587592413.0176883,39,6.321597576141357
1587592451.233588,40,6.314239025115967
1587592489.3026667,41,6.311514377593994
1587592527.477048,42,6.311394691467285
1587592565.588902,43,6.307188510894775
1587592603.781712,44,6.304949760437012
1587592641.9095972,45,6.302003383636475
1587592680.072799,46,6.301326751708984
1587592718.2497497,47,6.2980637550354
1587592756.344791,48,6.297217845916748
1587592794.6301117,49,6.294390678405762
1587592832.9386725,50,6.292206287384033
1587592871.1642518,51,6.287998199462891
1587592909.3149707,52,6.283412933349609
1587592947.398735,53,6.280855655670166
1587592985.5006502,54,6.280730247497559
1587593023.5301926,55,6.274888038635254
1587593061.5426595,56,6.274528503417969
1587593099.4928007,57,6.270643711090088
1587593137.5509272,58,6.26781702041626
1587593175.7073445,59,6.2658610343933105
1587593213.8539734,60,6.25999641418457
1587593251.948575,61,6.258084774017334
1587593290.1301577,62,6.255941867828369
1587593328.4903762,63,6.25349760055542
1587593366.5698698,64,6.2490315437316895
1587593404.71419,65,6.243777275085449
1587593442.7405355,66,6.243975639343262
1587593477.7047372,67,6.242313861846924
1587593515.9329655,68,6.237143516540527
1587593554.1150777,69,6.235220909118652
1587593592.3545432,70,6.234150409698486
1587593630.7694488,71,6.229860782623291
1587593668.812383,72,6.227675914764404
1587593706.8112333,73,6.223319053649902
1587593745.2305622,74,6.222259044647217
1587593784.0647972,75,6.218583583831787
1587593822.609657,76,6.21304988861084
1587593860.647302,77,6.213077068328857
1587593895.684951,78,6.206826210021973
1587593933.7917898,79,6.207401275634766
1587593968.6474013,80,6.204975128173828
1587594007.1413226,81,6.202103614807129
1587594045.2493687,82,6.198215484619141
1587594083.3831077,83,6.19609260559082
1587594121.5612302,84,6.190891265869141
1587594160.0411963,85,6.1884002685546875
1587594198.1681397,86,6.186241626739502
1587594236.4527903,87,6.1836724281311035
1587594274.6997886,88,6.1796393394470215
1587594312.8661945,89,6.178314685821533
1587594350.96403,90,6.175626277923584
1587594389.2193613,91,6.170936584472656
1587594427.3629768,92,6.168885707855225
1587594465.3609614,93,6.165370941162109
1587594503.4319675,94,6.1605401039123535
1587594541.4069445,95,6.159635066986084
1587594579.568924,96,6.151768207550049
1587594617.9198754,97,6.148596286773682
1587594655.9483986,98,6.14485502243042
1587594694.113136,99,6.144374847412109
